Date,Open,High,Low,Close,Volume,Daily_Return
,AAPL,AAPL,AAPL,AAPL,AAPL,
2024-01-02,185.57879946992125,186.8579779090344,182.34617384027908,184.08148193359375,82488700,
2024-01-03,182.6734238450404,184.31949132166326,181.8900476382689,182.7031707763672,58414500,-0.007487505765103375
2024-01-04,180.62080322049852,181.552914127362,179.36147605378457,180.38282775878906,71983600,-0.012700069778308731
2024-01-05,180.46214807824285,181.2256728170181,178.65742022872922,179.658935546875,62379700,-0.004013088279567589
2024-01-08,180.56129720920066,184.04183940945515,179.9762540642685,184.00216674804688,59144500,0.024174868831050578
2024-01-09,182.37593441619447,183.59560395931726,181.19592240352762,183.585693359375,42841800,-0.0022634156761977
2024-01-10,182.80234296869347,184.83512061558696,182.375945055311,184.62689208984375,46792900,0.005671458986897138
2024-01-11,184.97394287034564,185.4796709750172,182.07845882443647,184.03192138671875,49128400,-0.0032225571063367875
2024-01-12,184.49797017252533,185.17226924419936,183.63527891547233,184.35914611816406,40477800,0.001778086806786705
2024-01-16,180.63071876275188,182.71307958868692,179.41103406753936,182.08837890625,65603000,-0.012317084667221367
2024-01-17,179.74818071767538,181.39423295178236,178.78632298828933,181.14633178710938,47317400,-0.00517357079457359
2024-01-18,184.52773258500528,187.55213023449687,184.2699207854721,187.04641723632812,78005800,0.03257082487407348
2024-01-19,187.74053828049293,190.3385380102556,187.23482528040057,189.95181274414062,68903000,0.015533018759410933
2024-01-22,190.68560481730813,193.69016613117572,190.64593215238241,192.2622528076172,60133900,0.012163295680619024
2024-01-23,193.38273659657744,194.1066037302182,192.2027246817267,193.5413818359375,42355600,0.006653042964186229
2024-01-24,193.7793857004472,194.73133285541883,192.70845082511164,192.8671112060547,53631300,-0.0034838576819420375
2024-01-25,193.5810897970112,194.62227786062397,191.48880306885755,192.53990173339844,54822100,-0.0016965540190346795
2024-01-26,192.63902468370242,193.12490124096112,190.32858421232572,190.80455017089844,44594000,-0.00901294509281958
2024-01-29,190.3980247095346,190.5864320350317,187.98843240307312,190.12037658691406,47145600,-0.0035857299177172175
2024-01-30,189.33701232459805,190.18979301004535,185.89614265093053,186.4613494873047,55859400,-0.01924584395053852
2024-01-31,185.46973396127981,185.52924295226458,182.80233006356883,182.85189819335938,55467800,-0.019357637944109496
2024-02-01,182.44537406733116,185.38051582576702,182.27680306565713,185.29127502441406,64885400,0.013340724680227956
2024-02-02,178.35001646911297,185.75730456104918,177.7451370154647,184.28973388671875,102551700,-0.005405225570191297
2024-02-05,186.57042555488334,187.6611968198497,184.27982102914154,186.1043701171875,69668800,0.009846648493096133
2024-02-06,185.2912518041467,187.72068025311026,185.2020110139772,187.7107696533203,43490800,0.008631713135598407
2024-02-07,189.03952431241242,189.4460858813363,187.02656792958788,187.81985473632812,53439000,0.0005811338540100408
2024-02-08,187.80003823127362,187.94877290356362,185.77717103468487,186.73902893066406,40962000,-0.005754587592357474
2024-02-09,187.304938639922,188.63539609029752,186.65957913376621,187.50352478027344,45155200,0.004093926449051155
2024-02-12,187.07659264846137,187.32481018702742,185.45820944901192,185.81564331054688,41781900,-0.009001865280690136
2024-02-13,184.4454786725173,184.88234393093236,182.20158259974826,183.72067260742188,56529500,-0.011274458198461512
2024-02-14,183.9986922104331,184.2071864451767,181.13922150541597,182.83702087402344,54630500,-0.0048097566858283924
2024-02-15,182.2413002337134,183.17460050228618,180.05698915939104,182.54908752441406,65434500,-0.0015748088009361894
2024-02-16,182.11221816970058,183.53203018346474,180.37469562592958,181.0101318359375,49752500,-0.00843036637074801
2024-02-20,180.49382826711656,181.12926445278407,178.7165976564194,180.26547241210938,53665600,-0.004113910178812907
2024-02-21,180.64278508736416,181.5860086349742,179.37191259479573,181.02008056640625,41371400,0.004186093677283509
2024-02-22,182.1717663105661,183.6412246810514,181.15904991333062,183.055419921875,52292200,0.011243721409802898
2024-02-23,183.6908798817894,183.72066477086588,180.9307023940782,181.21864318847656,45119700,-0.010033992624650767
2024-02-26,180.94064867140935,181.45693020455124,179.36197373162466,179.86834716796875,40867400,-0.007451198159029615
2024-02-27,179.80876047563007,182.60864595739088,178.27973221361,181.32785034179688,54318900,0.008114285791847475
2024-02-28,181.20872015618278,181.81437153541262,178.84569957246276,180.12649536132812,48953900,-0.006625319707944666
2024-02-29,179.97756989489093,181.26830407372196,178.2499704416867,179.46127319335938,136682600,-0.0036930833891722914
